Song Name,Musicians,Duration,Song Link
Comfortably Numb (programme 4) (David Gilmour's demo),PINK FLOYD,3:16,https://music.youtube.com/watch?v=1Fufvoda5Z8
Interstellar Overdrive,PINK FLOYD,9:41,https://music.youtube.com/watch?v=UFdn7LA56uE
Rattle That Lock,David Gilmour,4:30,https://music.youtube.com/watch?v=L1v7hXEQhsQ
Pigs (Three Different Ones),Pink Floyd,11:26,https://music.youtube.com/watch?v=ZUEGeWYWbuU
Hey Jude,The Beatles,7:06,https://music.youtube.com/watch?v=mQER0A0ej0M
Sweet Child O' Mine,Guns N' Roses,5:03,https://music.youtube.com/watch?v=1w7OgIMMRc4
Seven Nation Army,The White Stripes,3:53,https://music.youtube.com/watch?v=D_QLxj8jCF0
Astronomia,"Vicetone, Tony Igy",3:19,https://music.youtube.com/watch?v=A5wBk9946Ew
Paranoid (2009 Remaster),Black Sabbath,2:48,https://music.youtube.com/watch?v=m7nwbJLO9qo
Paranoid Android,Radiohead,6:24,https://music.youtube.com/watch?v=DExBeFCx3mQ
We Didn't Start the Fire,Billy Joel,4:48,https://music.youtube.com/watch?v=55q6jrfBDdk
Dancin (Krono Remix) (feat. Luvli),"Aaron Smith, Krono",3:19,https://music.youtube.com/watch?v=Mnu5-meFyfI
I Want To Break Free (Single Remix),Queen,4:19,https://music.youtube.com/watch?v=8r3FaCiVFbA
We Will Rock You,Queen,2:03,https://music.youtube.com/watch?v=tsTH9TpxU_Y
Good Night (Remastered 2009),The Beatles,3:14,https://music.youtube.com/watch?v=Qp_djIuQ2Cw
Blackbird (Remastered 2009),The Beatles,2:19,https://music.youtube.com/watch?v=Man4Xw8Xypo
Layla,Derek & The Dominos,7:04,https://music.youtube.com/watch?v=TngViNw2pOo
Telegraph Road,Dire Straits,14:19,https://music.youtube.com/watch?v=1TTAXENxbM0
Sweet Home Alabama,Lynyrd Skynyrd,4:44,https://music.youtube.com/watch?v=iL-jC7XyLeo
CCR - Fortunate Son (MOONLGHT Remix),MOONLGHT,1:38,https://music.youtube.com/watch?v=Fg2G8SIb7n4
Free Bird,MOONLGHT,1:55,https://music.youtube.com/watch?v=mQ1ycOl48Hc
Down Under,Men At Work,3:43,https://music.youtube.com/watch?v=hfmxO-HQ5rU
As It Was,Harry Styles,2:48,https://music.youtube.com/watch?v=nujn6wbr-e8
Piano Man,Billy Joel,5:39,https://music.youtube.com/watch?v=LLbew85exp0
My Way (2008 Remastered),Frank Sinatra,4:37,https://music.youtube.com/watch?v=qQzdAsjWGPg
No Man's Land,AC/DC,3:40,https://music.youtube.com/watch?v=4kB397AeCHo
